match_week,attendance,home_position,away_position,home_performance,away_performance,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_performance_last_five,away_performance_last_five,home_performance_as_home,away_performance_as_away,home_avg_scored_as_home,away_avg_scored_as_away,home_avg_conceded_as_home,away_avg_conceded_as_away,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,Form_Home_Goals_Scored,Form_Home_Goals_Conceded,Form_Home_Shots,Form_Home_Possession,Form_Home_Points,Form_Away_Goals_Scored,Form_Away_Goals_Conceded,Form_Away_Shots,Form_Away_Possession,Form_Away_Points,HomeTeamResult
5,36129,9.0,6.0,0.5,0.58,1.25,1.5,2.0,0.75,0.0,0.0,0.5,0.5,3,2,5,1,62.3,37.7,9.0,1.0,26.0,3.0,614.0,369.0,4.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,14.0,9.0,0.0,0.0,19.333333333333332,48.36666666666667,1.0,0.0,0.0,17.25,63.425,1.75,W
5,24750,18.0,2.0,0.17,1.0,0.5,3.75,1.25,0.75,0.0,0.0,0.33,1.0,1,8,1,3,35.8,64.2,5.0,5.0,14.0,18.0,330.0,619.0,6.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,14.75,53.125,0.5,0.0,0.0,18.5,52.675,3.0,D
5,32296,16.0,4.0,0.17,0.67,0.5,0.75,1.0,0.25,0.0,0.0,0.0,0.67,1,2,3,1,56.7,43.3,6.0,2.0,9.0,10.0,436.0,318.0,6.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,15.0,13.0,0.0,0.0,13.5,42.0,0.5,0.0,0.0,8.5,39.85,2.0,W
5,75455,1.0,3.0,1.0,0.83,4.5,1.75,0.75,0.75,0.0,0.0,1.0,0.67,11,2,2,1,56.6,43.4,6.0,8.0,14.0,22.0,530.0,392.0,4.0,10.0,2.0,0.0,2.0,3.0,0.0,0.0,12.0,12.0,0.0,0.0,19.5,57.325,3.0,0.0,0.0,18.0,64.35,2.5,W
6,47293,2.0,8.0,0.87,0.47,3.4,1.2,1.0,1.2,0.47,0.47,1.0,0.5,7,1,0,2,62.7,37.3,7.0,3.0,19.0,8.0,567.0,322.0,7.0,5.0,2.0,1.0,1.0,5.0,0.0,0.0,10.0,13.0,0.0,0.0,18.4,54.98,2.6,0.0,0.0,16.25,53.0,1.75,W
6,59727,17.0,19.0,0.27,0.2,1.2,1.6,2.8,2.6,0.2,0.0,0.5,0.5,1,5,2,3,62.9,37.1,11.0,2.0,28.0,3.0,603.0,344.0,9.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,8.0,9.0,0.0,0.0,16.2,53.8,0.8,0.0,0.0,11.8,49.68,0.6,W
6,41800,3.0,14.0,0.67,0.33,1.6,0.6,1.2,1.0,0.4,0.27,1.0,0.0,5,0,2,5,49.6,50.4,7.0,1.0,15.0,7.0,502.0,495.0,1.0,6.0,3.0,4.0,3.0,3.0,1.0,0.0,15.0,12.0,0.0,0.0,18.8,60.160000000000004,2.0,0.0,0.0,12.8,57.08,1.0,W
6,44922,9.0,10.0,0.47,0.47,1.2,0.8,1.4,1.2,0.2,0.07,0.67,0.67,4,2,2,1,47.9,52.1,5.0,2.0,16.0,17.0,352.0,397.0,7.0,2.0,5.0,2.0,3.0,4.0,0.0,0.0,16.0,9.0,0.0,0.0,14.4,58.279999999999994,1.4,0.0,0.0,13.4,49.88,1.4,W
6,46236,4.0,16.0,0.6,0.27,0.8,1.4,0.4,2.0,0.33,0.27,0.67,0.17,2,2,1,4,63.8,36.2,4.0,1.0,21.0,3.0,458.0,256.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,8.0,17.0,0.0,0.0,12.6,47.0,1.8,0.0,0.0,13.8,42.9,0.8,W
6,23835,20.0,18.0,0.2,0.2,0.6,0.8,1.6,1.4,0.2,0.13,0.0,0.0,1,1,3,4,43.1,56.9,3.0,5.0,9.0,18.0,388.0,537.0,1.0,1.0,6.0,2.0,0.0,3.0,0.0,0.0,6.0,15.0,0.0,0.0,12.0,45.1,0.6,0.0,0.0,14.6,49.660000000000004,0.6,D
6,18788,15.0,5.0,0.33,0.6,0.8,1.8,1.4,1.6,0.2,0.4,0.67,0.5,3,2,1,3,36.1,63.9,3.0,6.0,5.0,16.0,342.0,610.0,1.0,9.0,1.0,2.0,2.0,1.0,1.0,0.0,13.0,6.0,0.0,0.0,10.2,44.78,1.0,0.0,0.0,21.0,51.85,1.5,L
